No,Namespace,Variable,Description,Render Section,Category,Value
558,KS4_25,PGL2BASICS_94,% of girls achieving standard 9-4 passes in both English and mathematics GCSEs,A5-KS4-T3-Grades,KS4 + KS5  Ages 11 to 18 Mixed sex,100.0%
559,KS4_25,PTL2BASICSEAL_94,% of pupils achieving standard 9-4 passes in both English and mathematics GCSEs and for whom English is an additional language,A5-KS4-T3-Grades,KS4 + KS5  Ages 11 to 18 Mixed sex,100.0%
560,KS4_25,PTL2BASICSNMOB_94,% of non-mobile pupils achieving standard 9-4 passes in both English and mathematics GCSEs,A5-KS4-T3-Grades,KS4 + KS5  Ages 11 to 18 Mixed sex,99.5%
561,KS4_25,PTFSM6CLA1ABASICS_95,% of disadvantaged pupils achieving strong 9-5 passes in GCSE English and maths,A5-KS4-T3-Grades,KS4 + KS5  Ages 11 to 18 Mixed sex,92.9%
562,KS4_25,PTNOTFSM6CLA1ABASICS_95,% of non-disadvantaged pupils achieving strong 9-5 passes in GCSE English and maths,A5-KS4-T3-Grades,KS4 + KS5  Ages 11 to 18 Mixed sex,99.4%
563,KS4_25,PBL2BASICS_95,% of boys achieving strong 9-5 passes in both English and mathematics GCSEs,A5-KS4-T3-Grades,KS4 + KS5  Ages 11 to 18 Mixed sex,98.4%
564,KS4_25,PGL2BASICS_95,% of girls achieving strong 9-5 passes in both English and mathematics GCSEs,A5-KS4-T3-Grades,KS4 + KS5  Ages 11 to 18 Mixed sex,100.0%
565,KS4_25,PTL2BASICSEAL_95,% of pupils achieving strong 9-5 passes in both English and mathematics GCSEs and for whom English is an additional language,A5-KS4-T3-Grades,KS4 + KS5  Ages 11 to 18 Mixed sex,97.6%
566,KS4_25,PTL2BASICSNMOB_95,% of non-mobile pupils achieving strong 9-5 passes in both English and mathematics GCSEs,A5-KS4-T3-Grades,KS4 + KS5  Ages 11 to 18 Mixed sex,99.0%
567,KS4_25,PTMULTILAN_E,% of pupils entering more than one foreign language,A5-KS4-T4-EBacc,KS4 + KS5  Ages 11 to 18 Mixed sex,21.5%
568,KS4_25,PTTRIPLESCI_E,"% of pupils entering biology, chemistry and physics",A5-KS4-T4-EBacc,KS4 + KS5  Ages 11 to 18 Mixed sex,99.0%
569,KS4_25,TAVENT_E_3NG_PTQ_EE,Average number of KS4 entries per pupil,A5-KS4-T6-Entries,KS4 + KS5  Ages 11 to 18 Mixed sex,10
570,KS4_25,TAVENT_E_3NG_FSM6CLA1A_PTQ_EE,Average number of KS4 entries per disadvantaged pupil,A5-KS4-T6-Entries,KS4 + KS5  Ages 11 to 18 Mixed sex,9.2
