COUNTA of No,,Category,,,,,,,,,
Namespace,Variable,Category,KS1 + KS2 Ages 3 to 11 Mixed sex,KS1 only Ages 3 to 7 Mixed sex,KS2 Ages 7 to 11 Mixed sex,KS4 + KS5  Ages 11 to 18 Mixed sex,KS4 Ages 11 to 16 Mixed sex,Private Ages 10 to 19 Mixed sex ,Private Ages 2 to 11 Mixed sex,Private Ages 4 to 18 Mixed sex,Grand Total
,PTRWM_HIGH_FSM6CLA1A_23,,1,,1,,,,,,2
,PTRWM_HIGH_FSM6CLA1A_24,,1,,1,,,,,,2
,PTRWM_HIGH_G,,1,,1,,,,,,2
,PTRWM_HIGH_H,,1,,1,,,,,,2
,PTRWM_HIGH_L,,1,,1,,,,,,2
,PTRWM_HIGH_M,,1,,1,,,,,,2
,PTRWM_HIGH_MOBN,,1,,1,,,,,,2
,PTRWM_HIGH_NOTFSM6CLA1A,,1,,1,,,,,,2
,PTRWM_HIGH_NOTFSM6CLA1A_23,,1,,1,,,,,,2
,PTRWM_HIGH_NOTFSM6CLA1A_24,,1,,1,,,,,,2
,PTSCITA_AD,,1,,1,,,,,,2
,PTSCITA_EXP,,1,,1,,,,,,2
,PTWRITTA_AD,,1,,1,,,,,,2
,PTWRITTA_EXP,,1,,1,,,,,,2
,PTWRITTA_EXP_FSM6CLA1A,,1,,1,,,,,,2
,PTWRITTA_EXP_H,,1,,1,,,,,,2
,PTWRITTA_EXP_L,,1,,1,,,,,,2
,PTWRITTA_EXP_M,,1,,1,,,,,,2
,PTWRITTA_EXP_NOTFSM6CLA1A,,1,,1,,,,,,2
,PTWRITTA_HIGH,,1,,1,,,,,,2
,PTWRITTA_HIGH_FSM6CLA1A,,1,,1,,,,,,2
,PTWRITTA_HIGH_H,,1,,1,,,,,,2
,PTWRITTA_HIGH_L,,1,,1,,,,,,2
,PTWRITTA_HIGH_M,,1,,1,,,,,,2
,PTWRITTA_HIGH_NOTFSM6CLA1A,,1,,1,,,,,,2
,PTWRITTA_WTS,,1,,1,,,,,,2
,READ_AVERAGE,,1,,1,,,,,,2
,READ_AVERAGE_23,,1,,1,,,,,,2
,READ_AVERAGE_24,,1,,1,,,,,,2
,READ_AVERAGE_3YR,,1,,1,,,,,,2
,READ_AVERAGE_B,,1,,1,,,,,,2
,READ_AVERAGE_EAL,,1,,1,,,,,,2
,READ_AVERAGE_FSM6CLA1A,,1,,1,,,,,,2
,READ_AVERAGE_G,,1,,1,,,,,,2
,READ_AVERAGE_H,,1,,1,,,,,,2
,READ_AVERAGE_L,,1,,1,,,,,,2
,READ_AVERAGE_M,,1,,1,,,,,,2
,READ_AVERAGE_MOBN,,1,,1,,,,,,2
,READ_AVERAGE_NOTFSM6CLA1A,,1,,1,,,,,,2
,READCOV,,1,,1,,,,,,2
,READPROG,,1,,1,,,,,,2
,READPROG_23,,1,,1,,,,,,2
,READPROG_24,,1,,1,,,,,,2
,READPROG_B,,1,,1,,,,,,2
,READPROG_B_LOWER,,1,,1,,,,,,2
,READPROG_B_UPPER,,1,,1,,,,,,2
,READPROG_DESCR,,1,,1,,,,,,2
,READPROG_DESCR_23,,1,,1,,,,,,2
,READPROG_EAL,,1,,1,,,,,,2
,READPROG_EAL_LOWER,,1,,1,,,,,,2
,READPROG_EAL_UPPER,,1,,1,,,,,,2
,READPROG_FSM6CLA1A,,1,,1,,,,,,2
,READPROG_FSM6CLA1A_LOWER,,1,,1,,,,,,2
,READPROG_FSM6CLA1A_UPPER,,1,,1,,,,,,2
,READPROG_G,,1,,1,,,,,,2
,READPROG_G_LOWER,,1,,1,,,,,,2
,READPROG_G_UPPER,,1,,1,,,,,,2
,READPROG_H,,1,,1,,,,,,2
,READPROG_H_LOWER,,1,,1,,,,,,2
,READPROG_H_UPPER,,1,,1,,,,,,2
,READPROG_L,,1,,1,,,,,,2
,READPROG_L_LOWER,,1,,1,,,,,,2
,READPROG_L_UPPER,,1,,1,,,,,,2
,READPROG_LOWER,,1,,1,,,,,,2
,READPROG_LOWER_23,,1,,1,,,,,,2
,READPROG_LOWER_24,,1,,1,,,,,,2
,READPROG_M,,1,,1,,,,,,2
,READPROG_M_LOWER,,1,,1,,,,,,2
,READPROG_M_UPPER,,1,,1,,,,,,2
,READPROG_MOBN,,1,,1,,,,,,2
,READPROG_MOBN_LOWER,,1,,1,,,,,,2
,READPROG_MOBN_UPPER,,1,,1,,,,,,2
,READPROG_NOTFSM6CLA1A,,1,,1,,,,,,2
,READPROG_NOTFSM6CLA1A_LOWER,,1,,1,,,,,,2
,READPROG_NOTFSM6CLA1A_UPPER,,1,,1,,,,,,2
,READPROG_UNADJUSTED,,1,,1,,,,,,2
,READPROG_UPPER,,1,,1,,,,,,2
,READPROG_UPPER_23,,1,,1,,,,,,2
,READPROG_UPPER_24,,1,,1,,,,,,2
,RECTYPE,,1,,1,,,,,,2
,RELDENOM,,1,,1,,,,,,2
,SCHNAME,,1,,1,,,,,,2
,SCHNAME_AC,,1,,1,,,,,,2
,TAB15,,1,,1,,,,,,2
,TAB1618,,1,,1,,,,,,2
,TEALGRP1,,1,,1,,,,,,2
,TEALGRP2,,1,,1,,,,,,2
,TEALGRP3,,1,,1,,,,,,2
,TELIG,,1,,1,,,,,,2
,TELIG_23,,1,,1,,,,,,2
,TELIG_24,,1,,1,,,,,,2
,TELIG_3YR,,1,,1,,,,,,2
,TELNUM,,1,,1,,,,,,2
,TFSM6CLA1A,,1,,1,,,,,,2
,TKS1AVERAGE,,1,,1,,,,,,2
,TKS1GROUP_H,,1,,1,,,,,,2
,TKS1GROUP_L,,1,,1,,,,,,2
,TKS1GROUP_M,,1,,1,,,,,,2
,TKS1GROUP_NA,,1,,1,,,,,,2
,TMOBN,,1,,1,,,,,,2
,TNOTFSM6CLA1A,,1,,1,,,,,,2
,TOTPUPS,,1,,1,,,,,,2
,TOWN,,1,,1,,,,,,2
,TPUPYEAR,,1,,1,,,,,,2
,TSENELE,,1,,1,,,,,,2
,TSENELEK,,1,,1,,,,,,2
,TSENELK,,1,,1,,,,,,2
,URN,,1,,1,,,,,,2
,URN_AC,,1,,1,,,,,,2
,WRITCOV,,1,,1,,,,,,2
,WRITPROG,,1,,1,,,,,,2
,WRITPROG_23,,1,,1,,,,,,2
,WRITPROG_24,,1,,1,,,,,,2
,WRITPROG_B,,1,,1,,,,,,2
,WRITPROG_B_LOWER,,1,,1,,,,,,2
,WRITPROG_B_UPPER,,1,,1,,,,,,2
,WRITPROG_DESCR,,1,,1,,,,,,2
,WRITPROG_DESCR_23,,1,,1,,,,,,2
,WRITPROG_EAL,,1,,1,,,,,,2
,WRITPROG_EAL_LOWER,,1,,1,,,,,,2
,WRITPROG_EAL_UPPER,,1,,1,,,,,,2
,WRITPROG_FSM6CLA1A,,1,,1,,,,,,2
,WRITPROG_FSM6CLA1A_LOWER,,1,,1,,,,,,2
,WRITPROG_FSM6CLA1A_UPPER,,1,,1,,,,,,2
,WRITPROG_G,,1,,1,,,,,,2
,WRITPROG_G_LOWER,,1,,1,,,,,,2
,WRITPROG_G_UPPER,,1,,1,,,,,,2
,WRITPROG_H,,1,,1,,,,,,2
,WRITPROG_H_LOWER,,1,,1,,,,,,2
,WRITPROG_H_UPPER,,1,,1,,,,,,2
,WRITPROG_L,,1,,1,,,,,,2
,WRITPROG_L_LOWER,,1,,1,,,,,,2
,WRITPROG_L_UPPER,,1,,1,,,,,,2
,WRITPROG_LOWER,,1,,1,,,,,,2
,WRITPROG_LOWER_23,,1,,1,,,,,,2
,WRITPROG_LOWER_24,,1,,1,,,,,,2
,WRITPROG_M,,1,,1,,,,,,2
,WRITPROG_M_LOWER,,1,,1,,,,,,2
,WRITPROG_M_UPPER,,1,,1,,,,,,2
,WRITPROG_MOBN,,1,,1,,,,,,2
,WRITPROG_MOBN_LOWER,,1,,1,,,,,,2
,WRITPROG_MOBN_UPPER,,1,,1,,,,,,2
,WRITPROG_NOTFSM6CLA1A,,1,,1,,,,,,2
,WRITPROG_NOTFSM6CLA1A_LOWER,,1,,1,,,,,,2
,WRITPROG_NOTFSM6CLA1A_UPPER,,1,,1,,,,,,2
,WRITPROG_UNADJUSTED,,1,,1,,,,,,2
,WRITPROG_UPPER,,1,,1,,,,,,2
,WRITPROG_UPPER_23,,1,,1,,,,,,2
,WRITPROG_UPPER_24,,1,,1,,,,,,2
,YEAR,,1,,1,,,,,,2
KS2_25 Total,,,316,,316,,,,,,632
KS4_25,ADDRESS1,,,,,1,1,1,,1,4
,ADDRESS2,,,,,1,1,1,,1,4
,ADDRESS3,,,,,1,1,1,,1,4
,ADMPOL,,,,,1,1,1,,1,4
,ADMPOL_PT,,,,,1,1,,,,2
,AGERANGE,,,,,1,1,1,,1,4
,ATT8SCR,,,,,1,1,1,,1,4
,ATT8SCR_BOYS,,,,,1,1,1,,1,4
,ATT8SCR_EAL,,,,,1,1,1,,1,4
,ATT8SCR_FSM6CLA1A,,,,,1,1,1,,1,4
,ATT8SCR_FSM6CLA1A_PREV,,,,,1,1,1,,1,4
,ATT8SCR_FSM6CLA1A_PREV2,,,,,1,1,1,,1,4
,ATT8SCR_GIRLS,,,,,1,1,1,,1,4
,ATT8SCR_NFSM6CLA1A,,,,,1,1,1,,1,4
,ATT8SCR_NFSM6CLA1A_PREV,,,,,1,1,1,,1,4
,ATT8SCR_NFSM6CLA1A_PREV2,,,,,1,1,1,,1,4
,ATT8SCR_NMOB,,,,,1,1,1,,1,4
,ATT8SCR_PREV,,,,,1,1,1,,1,4
,ATT8SCR_PREV2,,,,,1,1,1,,1,4
,ATT8SCREBAC,,,,,1,1,1,,1,4
,ATT8SCREBAC_BOYS,,,,,1,1,1,,1,4
,ATT8SCREBAC_EAL,,,,,1,1,1,,1,4
,ATT8SCREBAC_FSM6CLA1A,,,,,1,1,1,,1,4
,ATT8SCREBAC_GIRLS,,,,,1,1,1,,1,4
,ATT8SCREBAC_NFSM6CLA1A,,,,,1,1,1,,1,4
,ATT8SCREBAC_NMOB,,,,,1,1,1,,1,4
,ATT8SCRENG,,,,,1,1,1,,1,4
